Distance (m),Measured Width (m)
1640,11.2
1665,10
1690,9
1715,8.2
1740,7.5
1765,7.8
1790,8.7
1815,10
1840,6.1
1865,2.85
1890,5.4
1915,8
1940,10.4
2820,7.10
2820,11.10
2940,7.80
2950,8.00
2960,10.50
2970,7.70
2980,9.40
2990,8.20
3000,3.60
3010,9.10
3020,10.90
3470,9.00
3490,6.25
3510,6.10
3860,7.30
3979,9.70
3998,10.00
4010,3.30
4510,9.60
4627,9.90
4644,18.45
4660,16.00
4676,15.40
4860,18.6
5070,17.6
5180,19.35
5190,18.3
5200,14.3
5210,20.5
5220,15.4
5230,19.95
5240,23.25
5360,15.9
5370,26.5
5460,8.85
5470,7.7
5480,14.1
5490,14.3
5560,10
5580,3.9
5590,3.4
5600,3
5610,5.3
5620,7
5630,6.5
5640,5
5650,5.1
5675,6
5700,5.85
5715,6.2
5725,6.5
5750,7.1
5775,10
