X	Y	Z	distance	slope
268810.354	2142885.433	1070.46448	0	16.52456958
268815.901	2142877.113	1067.49768	10	16.52456958
268821.448	2142868.792	1067.34985	20	0.846941816
268826.995	2142860.472	1064.27393	30	17.09747867
268832.542	2142852.151	1060.38794	40	21.23607662
268838.089	2142843.831	1059.94006	50	2.564449557
268843.636	2142835.51	1056.51404	60	18.91156246
268849.375	2142827.322	1050.22681	70	32.15851964
268855.159	2142819.164	1052.3761	80	-12.12999185
268860.942	2142811.006	1051.13135	90	7.095396927
268866.725	2142802.847	1047.59277	100	19.48673278
268872.508	2142794.689	1045.97705	110	9.178076074
268875.58	2142785.21	1042.83582	120	17.43870327
268878.44	2142775.628	1040.77283	130	11.6565335
268881.301	2142766.046	1039.27722	140	8.506164666
268886.366	2142758.113	1037.8689	150	8.016358759
268894.75	2142752.663	1035.38269	160	13.96185619
268903.135	2142747.213	1033.64417	170	9.862412054
268910.643	2142740.61	1031.37146	180	12.80417196
268918.145	2142733.997	1030.57971	190	4.52694977
268925.646	2142727.384	1028.32495	200	12.70633948
268933.147	2142720.771	1025.85461	210	13.87618933
268940.648	2142714.158	1023.50458	220	13.22471408
268950.03	2142711.021	1022.35028	230	6.584510824
268958.309	2142706.399	1021.30048	240	5.992959527
268964.181	2142698.305	1019.66241	250	9.30283012
268970.054	2142690.211	1018.60773	260	6.020613678
268975.648	2142681.951	1015.97314	270	14.75969634
268979.991	2142672.943	1015.33643	280	3.643161767
268984.334	2142663.935	1014.03735	290	7.401728459
268988.476	2142654.883	1012.0719	300	11.11946343
268988.291	2142644.885	1011.08795	310	5.619529509
268988.105	2142634.887	1010.84393	320	1.397854201
268987.92	2142624.889	1009.34686	330	8.514346652
268987.735	2142614.89	1008.37292	340	5.562720855
268987.55	2142604.892	1008.07605	350	1.700440381
268991.482	2142596.449	1005.55371	360	14.15664943
268998.232	2142589.071	1004.08813	370	8.337796458
269004.983	2142581.693	1002.59625	380	8.485259785
269011.733	2142574.315	1002.63605	390	-0.228035998
269018.483	2142566.937	1001.33868	400	7.392093271
269025.233	2142559.559	999.82745	410	8.593682516
269031.622	2142551.93	1000.34955	420	-2.988699004
269036.179	2142543.029	999.8847	430	2.661478391
269040.735	2142534.127	999.6153	440	1.543175046
269045.292	2142525.226	999.39435	450	1.265744301
269049.849	2142516.324	998.89471	460	2.860347718
269051.874	2142507.041	999.24536	470	-2.008253693
269050.146	2142497.191	998.47479	480	4.406333367
269048.418	2142487.342	999.86987	490	-7.941960899
269043.478	2142479.615	1000.33337	500	-2.65376009
269035.094	2142474.165	996.83069	510	19.3037246
269027.093	2142468.415	996.61938	520	1.210536962
269023.813	2142458.968	997.41187	530	-4.53116322
269020.533	2142449.522	995.70715	540	9.674327265
